"","addrpct","perc_142007","perc_142008","perc_142009","perc_142010","perc_242007","perc_242008","perc_242009","perc_242010","perc_272007","perc_272008","perc_272009","perc_272010","perc_282007","perc_282008","perc_282009","perc_282010","perc_452007","perc_452008","perc_452009","perc_452010","perc_582007","perc_582008","perc_582009","perc_582010","perc_622007","perc_622008","perc_622009","perc_622010","perc_722007","perc_722008","perc_722009","perc_722010","perc_742007","perc_742008","perc_742009","perc_742010","perc_772007","perc_772008","perc_772009","perc_772010","perc_852007","perc_852008","perc_852009","perc_852010","perc_92007","perc_92008","perc_92009","perc_92010","perc_952007","perc_952008","perc_952009","perc_952010"
"1",1,6.01503759398496,9.88372093023256,5.36723163841808,9.80557903634827,1.00250626566416,2.0671834625323,2.04802259887006,1.01437024513948,0.417710944026733,1.48578811369509,3.53107344632768,2.1978021978022,0.918964076858814,1.16279069767442,1.0593220338983,1.35249366018597,64.7451963241437,59.7545219638243,57.4152542372881,57.0583262890955,1.58730158730159,0.258397932816538,NA,0.591715976331361,0.167084377610693,NA,NA,NA,NA,NA,0.0706214689265537,NA,0.584795321637427,0.968992248062015,0.282485875706215,NA,0.0835421888053467,0.258397932816538,0.141242937853107,0.084530853761623,17.7944862155388,17.312661498708,19.9152542372881,12.5950972104818,5.84795321637427,6.0077519379845,8.96892655367232,10.5663567202029,0.835421888053467,0.839793281653747,1.20056497175141,4.73372781065089
"13",10,17.8631995477671,20.9465791940019,16.0270880361174,34.0380549682875,12.6625211984172,10.1686972820993,8.50263355906697,6.06060606060606,3.27868852459016,6.79475164011247,11.3619262603461,8.17477096546864,12.6059920859242,7.16963448922212,8.50263355906697,6.553911205074,19.8982475975127,16.9634489222118,19.1873589164786,12.5440451021846,NA,NA,NA,NA,0.113058224985868,0.0468603561387067,NA,0.140944326990839,NA,NA,NA,NA,0.282645562464669,0.749765698219306,0.300978179082017,1.05708245243129,0.0565291124929339,0.0468603561387067,0.0752445447705041,0.211416490486258,20.520067834935,24.7422680412371,19.3378480060196,20.507399577167,12.3798756359525,12.136832239925,16.4033107599699,10.5708245243129,0.339174674957603,0.234301780693533,0.300978179082017,0.140944326990839
"24",100,18.6014935505771,22.9040622299049,28.6666666666667,25.119780971937,16.5648336727766,7.00086430423509,7.16666666666667,8.55578370978782,5.97420230821453,7.17372515125324,6.08333333333333,10.7460643394935,24.1004752206382,6.39585133967156,6,3.76454483230664,2.1724372029871,7.60587726879862,3.08333333333333,5.4757015742642,NA,NA,0.0833333333333333,NA,NA,0.0864304235090752,0.0833333333333333,NA,NA,NA,NA,NA,0.0678886625933469,0.345721694036301,0.333333333333333,0.205338809034908,0.271554650373388,0.0864304235090752,4.5,0.0684462696783025,20.6381534283775,29.4727744165946,24.8333333333333,27.5154004106776,11.541072640869,18.7554019014693,18.9166666666667,17.9329226557153,0.0678886625933469,0.17286084701815,0.25,0.616016427104723
"34",101,15.0395778364116,9.87394957983193,10.3566824237215,24.1886918701907,7.21196130167106,10.4516806722689,9.54018048990116,4.34928069588491,10.6420404573439,8.61344537815126,9.88397077782553,5.41987286717966,16.9744942832014,13.3928571428571,13.3218736570692,10.4382736701238,1.67106420404573,3.41386554621849,1.84787279759347,1.23787219805955,0.0439753737906772,NA,0.0859475719810915,NA,0.263852242744063,0.367647058823529,0.128921357971637,0.0669120107059217,NA,NA,NA,NA,0.219876868953386,0.262605042016807,0.214868929952729,0.167280026764804,0.351802990325418,0.105042016806723,5.5436183927804,0.167280026764804,39.8856640281442,46.0609243697479,40.0085947571981,43.9277350284376,7.43183817062445,7.30042016806723,8.98152127202406,10.0033456005353,0.263852242744063,0.157563025210084,0.0859475719810915,0.0334560053529609
"46",102,35.7084357084357,32.6592737551642,42.9084380610413,34.6161595808986,3.19410319410319,1.91345944770602,1.30802769941011,1.99476123312513,3.15315315315315,2.39182430963253,2.76994101051552,1.59177916582712,2.53890253890254,2.06566644922809,0.461656835085919,1.12834978843441,1.84275184275184,1.41335072841922,1.41061810720698,3.26415474511384,0.0819000819000819,0.0217438573602957,NA,NA,0.0819000819000819,0.0217438573602957,NA,0.0201491033649003,NA,NA,NA,NA,0.245700245700246,0.45662100456621,0.615542446781226,0.080596413459601,0.122850122850123,0.195694716242661,0.23082841754296,0.080596413459601,38.5749385749386,49.9021526418787,41.9594767889202,49.687688897844,14.4553644553645,8.95846923244184,8.33547063349577,7.5357646584727,NA,NA,NA,NA
"57",103,17.0107033639144,17.0872142252329,15.9235668789809,8.3736079008195,13.0733944954128,10.0423370025402,13.7579617834395,6.28283252784198,4.30045871559633,3.6917866215072,6.09645131938126,6.98676192477411,9.30810397553517,8.53513971210838,9.93630573248408,4.19205715486447,15.7110091743119,19.0177815410669,9.04458598726115,5.8940953981929,0.191131498470948,0.0508044030482642,0.236578707916288,0.0315192267283043,0.095565749235474,0.118543607112616,0.0181983621474067,0.0630384534566085,0.0573394495412844,NA,NA,0.0105064089094348,0.726299694189602,0.457239627434378,0.764331210191083,1.208237024585,0.095565749235474,3.18374259102456,0.0909918107370337,0.115570498003782,33.6391437308869,30.956816257409,33.8671519563239,60.3067871401555,5.75305810397554,6.85859441151566,10.2092811646952,6.45093507039294,0.0382262996941896,NA,0.0545950864422202,0.084051271275478
"70",104,36.9210174029451,34.3174303259329,46.1945031712474,46.4183381088825,8.62115127175368,11.9036372224846,6.40591966173362,2.13597290961188,1.4190093708166,0.779404818138876,1.64904862579281,1.95363375879135,4.01606425702811,5.83372697213037,3.65750528541226,1.06798645480594,1.63319946452477,1.41709966934341,2.09302325581395,4.01146131805158,NA,0.0236183278223902,NA,NA,0.0267737617135207,NA,0.0211416490486258,NA,NA,NA,NA,NA,0.401606425702811,0.425129900803023,0.824524312896406,0.13024225058609,NA,0.0236183278223902,NA,NA,42.2222222222222,37.411431270666,27.7167019027484,33.7848398020318,4.73895582329317,7.86490316485593,11.4164904862579,10.4975253972389,NA,NA,0.0211416490486258,NA
"79",105,42.4418604651163,36.0277865487843,42.4829157175399,28.7050713934023,1.85599284436494,3.78907483422798,4.55580865603645,3.00344657804037,3.15295169946333,4.54688980107357,4.64692482915718,7.41014278680453,2.03488372093023,2.58920113672245,2.32346241457859,2.41260462826194,0.491949910554562,0.820966214082728,0.797266514806378,0.615460364352536,0.0223613595706619,0.0631512472371329,NA,NA,0.0223613595706619,0.0315756236185665,0.0227790432801822,0.123092072870507,NA,NA,NA,NA,0.0670840787119857,NA,0.0683371298405467,0.0738552437223043,0.0670840787119857,2.68392800757815,0.273348519362187,0.0246184145741014,47.4955277280859,43.3849068519103,41.8451025056948,51.9694731659281,2.23613595706619,5.99936848752763,2.96127562642369,5.26834071885771,0.111806797853309,0.0631512472371329,0.0227790432801822,0.393894633185623
"91",106,38.0538302277433,31.1820159535896,34.118873826903,29.2855202390655,5.75569358178054,4.68938844573362,5.50573514077164,1.87449062754686,1.78053830227743,2.53807106598985,1.93952033368092,1.62999185004075,6.33540372670807,2.65893159294174,2.33576642335766,1.65715838087476,2.0703933747412,2.19966159052453,1.77267987486966,2.173322466721,NA,0.0241721053903795,NA,NA,0.041407867494824,NA,NA,NA,NA,0.0241721053903795,NA,NA,NA,0.169204737732657,0.291970802919708,0.380331431676175,NA,0.169204737732657,0.0417101147028154,0.0814995925020375,40.3312629399586,52.1875755378293,50.2189781021898,58.4080412931269,5.50724637681159,4.13343002175489,3.75391032325339,4.42814452594404,0.124223602484472,0.0241721053903795,0.0208550573514077,0.0814995925020375
"100",107,53.0950626381724,44.5698166431594,30.2802048809882,18.9755235932374,1.91599115696389,2.48236953455571,2.44049412473637,1.53923795104719,4.16359616801769,1.60789844851904,4.7905995781862,9.66439565985365,0.478997789240973,0.987306064880113,0.602591141910214,0.706535452939692,2.72660280029477,4.31593794076164,14.1910213919855,8.85692657077971,0.0736919675755343,NA,NA,NA,0.0736919675755343,0.0282087447108604,0.0301295570955107,NA,NA,NA,NA,NA,0.147383935151069,0.0564174894217207,0.0301295570955107,0.0757002271006813,0.0368459837877671,0.112834978843441,0.0301295570955107,0.378501135503407,30.066322770818,41.8617771509168,39.1985537812594,53.7219278324502,7.11127487103906,3.92101551480959,8.31575775836095,6.0560181680545,0.110537951363301,0.0564174894217207,0.0903886712865321,0.0252334090335604
