"string","num","var"
"1",1,"recstat"
"A",2,"recstat"
"O",2,"inout"
"I",1,"inout"
"P",2,"trhsloc"
"T",3,"trhsloc"
"H",1,"trhsloc"
"1",1,"perobs"
"2",3,"perobs"
"5",7,"perobs"
"10",2,"perobs"
"3",5,"perobs"
"4",6,"perobs"
"20",4,"perobs"
"V",4,"typeofid"
"P",2,"typeofid"
"O",1,"typeofid"
"R",3,"typeofid"
"Y",1,"explnstp"
" ",1,"arstoffn"
"PETIT LA",8,"arstoffn"
"PL 170.2",9,"arstoffn"
"CPW",6,"arstoffn"
"160.10",2,"arstoffn"
"ASSAULT",5,"arstoffn"
"265.01 (",4,"arstoffn"
"LOITERIN",7,"arstoffn"
"265.01",3,"arstoffn"
"240.20",5,"sumoffen"
"POSS OF",7,"sumoffen"
" ",1,"sumoffen"
"1-03 C2",2,"sumoffen"
"140.05",4,"sumoffen"
"OPEN CON",6,"sumoffen"
"10-125 2",3,"sumoffen"
"0",1,"compyear"
"0",1,"comppct"
" ",1,"officrid"
"I",2,"officrid"
"N",1,"adtlrept"
"N",1,"riflshot"
"N",1,"asltweap"
"N",1,"machgun"
"N",1,"pf_drwep"
"N",1,"pf_baton"
"N",1,"pf_pepsp"
"N",1,"rf_knowl"
"N",1,"sb_outln"
" ",1,"offverb"
"V",2,"offverb"
" ",1,"offshld"
"S",2,"offshld"
"M",2,"sex"
"F",1,"sex"
"B",1,"race"
"P",2,"race"
"Q",3,"race"
"W",4,"race"
"Z",5,"race"
"BK",2,"haircolr"
"SP",5,"haircolr"
"BR",3,"haircolr"
"BA",1,"haircolr"
"GY",4,"haircolr"
"BR",3,"eyecolor"
"BL",2,"eyecolor"
"BK",1,"eyecolor"
"M",2,"build"
"H",1,"build"
"T",3,"build"
" ",1,"othfeatr"
"SMALL",2,"othfeatr"
"L",1,"addrtyp"
" ",1,"rescode"
" ",1,"premtype"
" ",1,"aptnum"
"BROOKLYN",2,"city"
"MANHATTAN",3,"city"
"QUEENS",4,"city"
"BRONX",1,"city"
"STATEN IS",5,"city"
" ",1,"state"
" ",1,"post"
"7",3,"post"
"18",2,"post"
"72",4,"post"
"73",5,"post"
"CM",1,"dettypcm"
"1",1,"linecm"
